"Année","Consommation annuelle totale de l'adresse (MWh)","Consommation annuelle moyenne par logement de l'adresse (MWh)","Consommation annuelle moyenne de la commune (MWh)","adresse","numero_dpe","etiquette_dpe","etiquette_ges","annee_construction","surface_habitable_logement","conso_5 usages_ef","emission_ges_5_usages","cout_total_5_usages","nombre_appartement"
2024,54.961,1.57,2.941,"7 RUE RAOUL LESUEUR 060 NICE","2406E4407094Z","C","C",NA,38.1,3197.3,668.6,495.8,36
2024,132.218,1.502,2.941,"41 AVENUE RAYMOND COMBOUL 060 NICE","2406E1836747M","C","C",2012,23.5,2905.5,608.4,252,98
2024,22.023,1.159,2.941,"1 RUE RAYNARDI 060 NICE","2406E2547917E","E","E",1959,29,6070.3,1916.8,937,30
2024,27.509,1.965,2.941,"1 RUE REINE JEANNE 060 NICE","2406E3219146R","F","F",NA,58,21418.3,4812.5,2111.2,42
2024,86.882,3.218,2.941,"27 RUE ROSSINI 060 NICE","2406E2237926L","D","D",1970,38.2,6209,1264,610,20
2024,27.627,1.381,2.941,"12 RUE ROSSINI 060 NICE","2406E1497595E","E","E",1970,49.1,14590.4,3193.2,1074,49
2024,80.865,1.586,2.941,"123 AVENUE SAINT LAMBERT 060 NICE","2406E2300771O","D","D",1968,33.3,6888.9,1531.9,473,51
2024,78.907,2.321,2.941,"4 RUE SAINT PHILIPPE 060 NICE","2406E4330334R","E","D",1933,24,5830.3,1087.8,844,33
2024,56.854,1.834,2.941,"6 CORNICHE SAINTE ROSALIE 060 NICE","2406E0318942J","D","D",1970,50.6,7909.2,1758.5,546,41
2024,89.775,4.081,2.941,"4 AVENUE SALONINA 060 NICE","2406E1009375M","D","A",1978,93.3,7729.1,536.6,1331.4,24
2024,125.436,2.091,2.941,"22 RUE TRACHEL 060 NICE","2306E4555502Y","E","D",1930,20,4263.5,1030.7,607,65
2024,93.23,1.793,2.941,"43 BOULEVARD TZAREWITCH 060 NICE","2406E1277057Y","E","E",1893,60.4,14157.9,4069.9,1542,20
2024,36.835,2.456,2.941,"22 BOULEVARD TZAREWITCH 060 NICE","2406E2507377Y","C","C",1970,95.7,11035.5,2103.3,1429,72
2024,39.634,2.642,2.941,"16 RUE VERDI 060 NICE","2406E2090467Y","C","C",1936,101.2,12890.6,2547.2,1171,19
2024,25.992,1.857,2.941,"36 AVENUE VILLERMONT 060 NICE","2406E4144942F","D","D",1931,70.2,12632.3,2483.3,1567,14
2024,173.771,4.827,4.596,"133 RUE DE L EGLISE 012 ORNEX","2401E0155582C","E","B",1989,101.9,12329.7,914.9,2044,19
2024,16.07,1.004,4.39,"1 RUE GUY MOQUET 914 ORSAY","2491E1474438U","D","D",1960,76.6,11989.2,2666.9,848,14
2024,43.73,2.186,2.631,"8 RUE ALBERT ROUSSEL 750 PARIS","2475E2325870O","D","D",2003,105.6,20233.4,4428.6,1383.7,61
2024,65.96,1.885,2.631,"12 RUE ALBERT ROUSSEL 750 PARIS","2475E1238633T","D","D",2002,110.7,19799.3,4325.6,1463,43
2024,30.522,1.13,2.631,"11 RUE ALEXANDRE CABANEL 750 PARIS","2475E3312273D","E","D",1930,61.8,15128.9,2555,1429,50
2024,48.794,4.436,2.631,"34 RUE ALEXANDRE DUMAS 750 PARIS","2475E2172778K","D","B",1996,28.4,2899.4,207,562,11
2024,60.487,3.36,2.631,"96 RUE AMELOT 750 PARIS","2475E3858102O","E","E",1920,49,12932.2,2575.8,1585.3,18
2024,38.656,1.933,2.631,"50 BOULEVARD ARAGO 750 PARIS","2475E2321569D","F","C",1948,27,4980.3,351,878,40
2024,39.846,1.732,2.631,"2 RUE ARISTIDE MAILLOL 750 PARIS","2475E2279221J","D","D",1984,68,9944.2,2146.4,982.9,23
2024,38.709,1.249,2.631,"13 RUE AUGUSTIN THIERRY 750 PARIS","2475E0581656K","C","C",1979,30,2353.8,415.1,212.3,26
2024,175.965,6.517,2.631,"73 RUE BALARD 750 PARIS","2475E1057188C","D","A",1987,70,5734.9,418,996.4,92
2024,59.575,1.655,2.631,"41 RUE BARGUE 750 PARIS","2475E3170902U","D","C",1978,79,13422.6,1851.9,1412,37
2024,78.151,7.815,2.631,"9 PASSAGE BASFROI 750 PARIS","2475E2377391D","F","B",1850,37,5485,406.1,1201,11
2024,282.735,6.575,2.631,"10 RUE BASFROI 750 PARIS","2475E1149749D","D","B",1990,46,4656.9,336.7,832.1,40
2024,64.717,2.489,2.631,"11 RUE BELIDOR 750 PARIS","2475E0582172G","E","B",1945,14.3,2303.8,157.6,474,28
2024,31.108,1.152,2.631,"51 RUE BELLIARD 750 PARIS","2475E2942978M","F","F",1975,20.9,4317.2,1565.3,456,32
2024,38.235,1.416,2.631,"11 RUE BELLIER DEDOUVRE 750 PARIS","2475E0646801Z","C","C",1930,14.4,2084.7,304.6,365,55
2024,208.228,5.48,2.631,"13 PASSAGE BESLAY 750 PARIS","2475E3164625J","D","B",2001,31.3,3345.1,218.8,792,41
2024,152.458,5.082,2.631,"16 RUE BICHAT 750 PARIS","2475E1629672S","G","C",1850,19.4,4063.2,304.3,740.1,32
2024,122.194,3.942,2.631,"14 RUE BICHAT 750 PARIS","2475E3140122Y","F","C",NA,48.5,8378.2,635.5,1771.7,15
2024,67.146,5.595,2.631,"17 RUE BISSON 750 PARIS","2475E4081329F","D","B",1990,66,5584.8,405.5,1230.4,12
2024,118.293,3.113,2.631,"70 RUE BOBILLOT 750 PARIS","2475E4466960E","D","B",1980,20.2,2375.1,166.9,621,38
2024,111.443,1.252,2.631,"107 RUE BOBILLOT 750 PARIS","2475E2149359R","F","F",1948,110,30710,8030,4540,70
2024,39.031,2.054,2.631,"10 RUE BOUCHARDON 750 PARIS","2475E1266328Y","F","C",1979,61.7,10679.8,802,1791,20
2024,53.571,2.06,2.631,"6 RUE BOULAY 750 PARIS","2475E0727487H","F","F",1933,39,11485.5,2902.6,1046.4,52
2024,108.617,1.309,2.631,"47 AVENUE BOUTROUX 750 PARIS","2475E3745317R","D","C",1956,50,9959.7,1411.7,922.1,83
2024,75.138,1.789,2.631,"13 RUE BOYER 750 PARIS","2475E2643137D","C","C",1991,73,7121.4,1489.4,1055.6,62
2024,21.278,0.304,2.631,"55 RUE BRILLAT SAVARIN 750 PARIS","2475E1904028W","C","C",NA,24.7,3160.6,578.8,265.1,70
2024,64.192,0.973,2.631,"19 RUE BUOT 750 PARIS","2475E2769331T","E","E",1972,28.6,8132.4,1808.2,816,68
2024,19.969,0.998,2.631,"96 RUE CAMBRONNE 750 PARIS","2475E4376017J","E","E",1981,25.4,8164.2,1783.5,875,21
2024,69.61,3.664,2.631,"60 RUE CAULAINCOURT 750 PARIS","2475E2467514K","D","D",1900,110,21861.6,4339.5,2579,20
